Number,Question,OriginalAnswer,Type,Answer,WrongAnswers,Passage,OTNT,Theme
1,What is the Bible?,The Bible is the inspired Word of God and is His revelation to all people of himself and His plan of salvation.,,The inspired Word of God and is His revelation to all people of himself and His plan of salvation.,A collection of ancient songs.|The written word of the prophets of God.|A collection of ancient writing by church elders.,,,General
2,How many books are there in the Bible?,Sixty-six,Number,66,,,,General
3,What are the two divisions of the Bible?,Old Testament and New Testament,,,Front and Back Part|The Beatitudes and Psalms|The Gospel and the Law,,,General
4,"What does ""testament"" mean?",Covenant [contract or agreement],TermDefinition,,,,,General
5,How many books are in the Old Testament?,Thirty-nine,Number,39,,,,General
6,In what language was most of the Old Testament written?,Hebrew,,,Greek|Latin|Egyptian|Arabic|Chinese,,,General
7,How many books are in the New Testament?,Twenty-seven,Number,27,,,,General
8,In what language was most of the New Testament written?,Greek,,,Hebrew|Latin|German|Japanese|Sanskrit,,,General
9,About how many people did God inspire to write the Bible?,[About] forty,Number,40,,,,General
10,Approximately how many years did it take to write the Bible?,"[Approximately] 1,600 years",Timespan,,,,,General
11,Which book of the Bible tells about the beginnings of the world?,Genesis,BookOfTheBible,,,,OT,Creation
12,What are the four Gospels?,Matthew|Mark|Luke|John,,,Peter~Paul~Mary~Joe|Genesis~Exodus~Leviticus~Numbers|Psalms~Proverbs~Romans~Acts,,NT,General
13,"What does the word ""gospel"" mean?",Good news,TermDefinition,,,,,General
14,What is the theme of the four Gospels?,The life and teaching of Jesus,,,The life and teachings of Moses|The life of the apostels|The revalation of the end times,,NT,Ministry of Jesus
15,Who wrote more books of the Bible than any other person?,Paul,Person,,,,NT,Ministry of Paul
16,Which book of the Bible tells about the beginnings of the Church?,Acts,BookOfTheBible,,,,NT,General
17,Which New Testament book is composed almost entirely of prophecies of the future?,Revelation,BookOfTheBible,,,,NT,End Times
18,Which of the Old Testament books is a collection of hymns and songs?,Psalms,BookOfTheBible,,,,OT,General
19,Who wrote many of the Psalms?,King David,Person,,,,OT,David
20,What is an epistle?,A letter sent by an apostle.,TermDefinition,,,,NT,Apostles
21,What is the longest book of the Bible?,Psalms,BookOfTheBible,,,,OT,General
22,What is the shortest chapter in the Bible?,Psalm 117,,,Psalm 119|Job 25|Esther 10|Psalm 133,,OT,General
23,What is the longest chapter in the Bible?,Psalm 119,,,Psalm 117|Matthew 26|Luke 1,,OT,General
24,Where did the universe come from?,Genesis 1:1 In the beginning God created the heavens and the earth.,DirectBibleQuote,"Genesis 1:1 ""In the beginning God created the heavens and the earth.""",,Genesis 1:1,OT,Creation
25,Who were the first man and first woman?,Adam and Eve,TwoPersons,,,Genesis 3:20,OT,Garden of Eden
26,How are people different from animals?,God created people in His own image.,,,God gave people the ability to stand.|God gave people brains.|God gave people the ability to talk.|God create people in the image of the angels.,Genesis 1:27,OT,Creation
27,Who were the first two brothers?,Cain and Abel,TwoPersons,,,Genesis 4:1-2,OT,Garden of Eden
28,Who was the first murderer?,Cain,Person,,,Genesis 4:8,OT,Garden of Eden
29,How did sin enter the world?,Through the disobedience of Adam and Eve,,,Through the disobedience of Cain and Abel|Through the obedience of Noah|Through the disobedience of the angels|Through the Internet,Genesis 3:1-19;Romans 5:14,,Garden of Eden
30,The account of man's first sin mentioned what two trees?,The tree of the knowledge of good and evil|The tree of life,,,The tree of widsom~The tree of wealth|The tree of peace~The tree of health|The tree of love~The bush of fire,Genesis 2:17; 3:24,OT,Garden of Eden
31,What man walked with God until God took him to heaven without dying?,Enoch,Person,,,Genesis 5:23-24,OT,Noah
32,"Who lived longer than any other person, and how long did he live?",Methuselah--969 years,,,Lamech--1001 years|Jared--962 years|Noah--950 years,Genesis 5:27,OT,Noah
33,Why did God send a flood upon the earth?,Because people were so wicked and they thought about evil all the time,,,Because people were sometimes wicked|Because people did not pick up their trash|Because people did not read the Bible,Genesis 6:5,OT,Noah
34,Whom did God spare from the Great Flood?,Noah and his family,,,Moses and his family|Noah and his town|Noah and his wife|Moses and his pet dog,Genesis 7:7,OT,Noah
35,Who were the three sons of Noah?,Shem|Ham|Japheth,,,Peter~James~John|Noah Jr~Noah II~Noah IV|Peter~Paul~Mary,Genesis 7:13,OT,Noah
36,"When the Flood came, how long did it rain?",Forty days and nights,Timespan,,,Genesis 7:12,OT,Noah
37,What was the meaning of the first rainbow?,It was God's promise that the world would never again be destroyed by a flood.,,,It was God's promise that the world would never be destroyed by fire.|It was God's promise that the world would be destroyed every 1000 years.|It was God's promise that world would NEVER be destroyed.,Genesis 9:14-15,OT,Noah
38,"After the Flood, how did the people rebel against God?",By building a tower that reached into the sky to make themselves famous,,,By building a ladder that reached into the sky|By digging the deepest hole to make themselves famous|By launching a rocket to talk to God,Genesis 11:4,OT,Post Flood
39,How did God judge the people who built the tower of Babel?,God confused the people with different languages so they couldn't understand one another.,,,God confused the people with different foods so they would not eat with each other.|God took all their building tools away.|God destroyed the tower of Babel.|God did not judge them.,Genesis 11:7,OT,Post Flood
40,How did God test Abraham's faith when He asked him to leave his home?,By asking Abraham to follow Him without telling him where He would lead him,,,By asking Abraham to give all his money away|By asking Abraham to burn his home|By asking Abraham to walk without shoes,Genesis 12:1-6; Hebrews 11:8,OT,Abraham
41,Who was Abraham's nephew?,Lot,Person,,,Genesis 12:4-5,OT,Abraham
42,What was the original name of the country God promised to Abraham?,Canaan,Place,,,Genesis 12:5,OT,Abraham
43,Who was Abraham's wife?,Sarah,Person,,,Genesis 17:15,OT,Abraham
44,To what country did Abraham go in time of famine?,Egypt,Place,,,Genesis 12:10,OT,Abraham
45,Why was it wrong for Lot to live in Sodom?,Because the people of Sodom were very wicked and constantly sinned against the Lord.,,,Because Lot was not born in Sodom.|Because Sodom did not have salt.|Because Lot was a prophet of God.,Genesis 13:12-13; 14:12,OT,Abraham
46,Who was Melchizedek?,Priest of God and King of Salem,,,Priest of God and King of Dan|Prophet of Judea|King of Bath,Genesis 14:18,OT,Abraham
47,What was the name of the son born to Abraham and Hagar?,Ishmael,Person,,,Genesis 16:15-16,OT,Abraham
48,What two cities did God destroy with fire because of their great wickedness?,Sodom and Gomorrah,,,Ephesus and Corinth|Hebron and Debir|Minneapolis and St. Paul,Genesis 19:24-25,OT,Abraham
49,What was the name of the son born to Abraham and Sarah?,Isaac,Person,,,Genesis 21:1-3,OT,Abraham
50,How old were Abraham and Sarah when Isaac was born?,Abraham was one hundred and Sarah was ninety years old.,,,Abraham was sixty and Sarah was fourty-five years old.|Abraham was twenty-three and Sarah was twenty years old.|Abraham and Sarah were both ninety years old.,Genesis 17:17; 21:1-5,OT,Abraham
51,Who was Isaac's wife?,Rebekah,Person,,,Genesis 24:67,OT,Abraham
